,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional,Season
0,1,Kareem Abdul-Jabbar*,C,41,LAL,74,74,22.9,4.2,8.9,0.475,0.0,0.0,0.0,4.2,8.9,0.477,0.475,1.6,2.2,0.739,1.4,3.1,4.5,1.0,0.5,1.1,1.3,2.6,10.1,abdulka01,1988-89
1,2,Mark Acres,C,26,BOS,62,0,10.2,0.9,1.8,0.482,0.0,0.0,1.0,0.9,1.8,0.478,0.487,0.4,0.8,0.542,1.0,1.4,2.4,0.3,0.3,0.1,0.4,1.5,2.2,acresma01,1988-89
2,3,Michael Adams,PG,26,DEN,77,77,36.2,6.1,14.1,0.433,2.2,6.1,0.356,3.9,8.0,0.49,0.509,4.2,5.1,0.819,0.9,2.8,3.7,6.4,2.2,0.1,2.3,1.9,18.5,adamsmi01,1988-89
3,4,Mark Aguirre,SF,29,TOT,80,76,32.5,7.3,15.9,0.461,0.6,2.2,0.293,6.7,13.7,0.488,0.481,3.6,4.9,0.733,1.8,3.0,4.8,3.5,0.6,0.5,2.6,2.9,18.9,aguirma01,1988-89
4,4,Mark Aguirre,SF,29,DAL,44,44,34.8,8.5,18.8,0.45,0.7,2.3,0.293,7.8,16.6,0.471,0.467,4.0,5.5,0.73,2.0,3.3,5.3,4.3,0.7,0.7,3.2,2.9,21.7,aguirma01,1988-89
5,4,Mark Aguirre,SF,29,DET,36,32,29.7,5.9,12.3,0.483,0.6,2.1,0.293,5.3,10.2,0.522,0.508,3.1,4.1,0.738,1.6,2.6,4.2,2.5,0.4,0.2,1.9,2.8,15.5,aguirma01,1988-89
6,5,Danny Ainge,PG,29,TOT,73,54,32.6,6.6,14.4,0.457,1.6,4.2,0.38,5.0,10.2,0.488,0.512,2.8,3.3,0.854,1.0,2.5,3.5,5.5,1.3,0.1,2.0,2.5,17.5,aingeda01,1988-89
7,5,Danny Ainge,PG,29,BOS,45,28,30.0,6.0,13.1,0.46,1.3,3.4,0.374,4.7,9.6,0.491,0.509,2.5,2.8,0.891,0.8,2.6,3.4,4.8,1.2,0.0,1.8,2.4,15.9,aingeda01,1988-89
8,5,Danny Ainge,PG,29,SAC,28,26,36.7,7.5,16.5,0.452,2.1,5.4,0.387,5.4,11.1,0.484,0.515,3.3,4.0,0.813,1.2,2.4,3.6,6.7,1.5,0.3,2.3,2.8,20.3,aingeda01,1988-89
9,6,Mark Alarie,PF,25,WSB,74,5,15.4,2.8,5.8,0.478,0.2,0.5,0.342,2.6,5.3,0.491,0.493,1.0,1.2,0.839,1.4,2.1,3.4,0.9,0.3,0.3,0.8,2.2,6.7,alarima01,1988-89
10,7,Steve Alford,PG,24,TOT,66,3,13.7,2.2,4.9,0.457,0.3,0.8,0.364,1.9,4.1,0.476,0.488,0.8,0.9,0.82,0.2,0.9,1.1,1.4,0.7,0.0,0.7,0.9,5.5,alforst01,1988-89
11,7,Steve Alford,PG,24,DAL,9,0,4.2,0.3,1.2,0.273,0.0,0.2,0.0,0.3,1.0,0.333,0.273,0.1,0.2,0.5,0.0,0.3,0.3,1.0,0.1,0.0,0.1,0.3,0.8,alforst01,1988-89
12,7,Steve Alford,PG,24,GSW,57,3,15.2,2.5,5.5,0.463,0.4,0.9,0.377,2.2,4.6,0.481,0.495,0.9,1.0,0.831,0.2,1.0,1.2,1.5,0.8,0.1,0.8,0.9,6.3,alforst01,1988-89
13,8,Randy Allen,SG,24,SAC,7,0,6.1,1.1,2.7,0.421,0.0,0.1,0.0,1.1,2.6,0.444,0.421,0.1,0.3,0.5,0.4,0.6,1.0,0.0,0.1,0.1,0.3,1.0,2.4,allenra01,1988-89
14,9,Greg Anderson,PF,24,SAS,82,56,29.3,5.6,11.1,0.503,0.0,0.0,0.0,5.6,11.1,0.505,0.503,2.5,4.9,0.514,3.1,5.1,8.2,0.7,1.2,1.3,2.2,2.7,13.7,andergr01,1988-89
15,10,Michael Anderson,PG,22,SAS,36,12,20.3,2.0,4.9,0.417,0.0,0.2,0.143,2.0,4.7,0.429,0.42,1.6,2.3,0.695,1.2,1.3,2.5,4.3,1.2,0.1,2.3,1.8,5.7,andermi01,1988-89
16,11,Richard Anderson,PF,28,POR,72,3,15.0,2.0,4.8,0.417,0.7,2.0,0.348,1.3,2.9,0.464,0.487,0.4,0.5,0.842,0.9,2.3,3.2,1.4,0.6,0.2,0.8,1.4,5.2,anderri01,1988-89
17,12,Ron Anderson,SF,30,PHI,82,12,31.9,6.9,14.0,0.491,0.0,0.1,0.182,6.9,13.9,0.494,0.492,2.4,2.8,0.856,2.0,2.9,5.0,1.7,0.9,0.3,1.5,2.0,16.2,anderro01,1988-89
18,13,Willie Anderson,SF,22,SAS,81,79,33.8,7.9,15.9,0.498,0.0,0.3,0.19,7.9,15.6,0.503,0.5,2.8,3.6,0.775,1.9,3.3,5.1,4.6,1.9,0.8,3.2,3.6,18.6,anderwi01,1988-89
19,14,John Bagley,PG,28,NJN,68,20,24.1,2.9,7.1,0.416,0.2,0.8,0.204,2.8,6.3,0.443,0.427,1.3,1.8,0.724,0.5,1.6,2.1,5.8,1.1,0.1,2.3,1.7,7.4,baglejo01,1988-89
20,15,Thurl Bailey,SF,27,UTA,82,3,33.9,7.5,15.5,0.483,0.0,0.1,0.4,7.5,15.5,0.484,0.484,4.4,5.4,0.825,1.4,4.0,5.5,1.7,0.6,1.1,2.5,2.3,19.5,baileth01,1988-89
21,16,Greg Ballard,SF,34,SEA,2,0,7.5,0.5,4.0,0.125,0.0,0.5,0.0,0.5,3.5,0.143,0.125,2.0,2.0,1.0,1.0,2.5,3.5,0.0,0.0,0.0,0.0,1.5,3.0,ballagr01,1988-89
22,17,Ken Bannister,PF,28,LAC,9,2,14.4,2.4,4.0,0.611,0.0,0.1,0.0,2.4,3.9,0.629,0.611,3.3,5.9,0.566,0.7,3.0,3.7,0.3,0.8,0.2,0.9,1.9,8.2,bannike01,1988-89
23,18,Charles Barkley*,PF,25,PHI,79,79,39.1,8.9,15.3,0.579,0.4,2.1,0.216,8.4,13.2,0.636,0.594,7.6,10.1,0.753,5.1,7.4,12.5,4.1,1.6,0.8,3.2,3.3,25.8,barklch01,1988-89
24,19,John Battle,SG,26,ATL,82,0,20.4,3.5,7.7,0.457,0.1,0.4,0.324,3.4,7.2,0.465,0.466,2.4,2.9,0.815,0.4,1.3,1.7,2.4,0.5,0.1,1.3,1.5,9.5,battljo01,1988-89
25,20,Benoit Benjamin,C,24,LAC,79,62,32.7,6.2,11.5,0.541,0.0,0.0,0.0,6.2,11.5,0.543,0.541,4.0,5.4,0.744,2.1,6.7,8.8,2.0,0.7,2.8,3.0,2.8,16.4,benjabe01,1988-89
26,21,Ricky Berry,SG,24,SAC,64,21,22.0,4.0,8.9,0.45,1.0,2.5,0.406,3.0,6.4,0.467,0.507,2.0,2.6,0.789,0.9,2.2,3.1,1.3,0.6,0.3,1.3,3.1,11.0,berryri01,1988-89
27,22,Walter Berry,PF,24,TOT,69,31,19.6,3.7,7.3,0.507,0.0,0.0,0.5,3.7,7.2,0.507,0.508,1.4,2.1,0.699,1.2,2.6,3.9,1.1,0.4,0.7,1.3,2.7,8.8,berrywa01,1988-89
28,22,Walter Berry,PF,24,NJN,29,17,19.2,3.7,8.0,0.468,0.0,0.0,,3.7,8.0,0.468,0.468,1.5,2.2,0.683,1.1,2.9,4.0,0.7,0.3,0.4,1.4,2.4,8.9,berrywa01,1988-89
29,22,Walter Berry,PF,24,HOU,40,14,20.0,3.7,6.8,0.541,0.0,0.1,0.5,3.6,6.7,0.541,0.543,1.4,2.0,0.713,1.4,2.5,3.8,1.4,0.5,0.9,1.2,2.9,8.8,berrywa01,1988-89
30,23,Larry Bird*,SF,32,BOS,6,6,31.5,8.2,17.3,0.471,0.0,0.0,,8.2,17.3,0.471,0.471,3.0,3.2,0.947,0.2,6.0,6.2,4.8,1.0,0.8,1.8,3.0,19.3,birdla01,1988-89
31,24,Otis Birdsong,SG,33,BOS,13,0,8.3,1.4,2.8,0.5,0.1,0.2,0.333,1.3,2.5,0.515,0.514,0.0,0.2,0.0,0.3,0.7,1.0,0.7,0.2,0.1,0.9,0.8,2.8,birdsot01,1988-89
32,25,Uwe Blab,C,26,DAL,37,0,5.6,0.6,1.4,0.462,0.0,0.0,,0.6,1.4,0.462,0.462,0.5,0.7,0.8,0.3,0.9,1.2,0.3,0.1,0.4,0.4,1.0,1.8,blabuw01,1988-89
33,26,Rolando Blackman,SG,29,DAL,78,78,37.8,7.6,16.0,0.476,0.4,1.1,0.353,7.2,14.9,0.485,0.488,4.1,4.7,0.854,0.9,2.6,3.5,3.7,0.8,0.3,2.1,1.8,19.7,blackro01,1988-89
34,27,Muggsy Bogues,PG,24,CHH,79,21,22.2,2.3,5.3,0.426,0.0,0.2,0.077,2.2,5.1,0.437,0.427,0.8,1.1,0.75,0.7,1.4,2.1,7.8,1.4,0.1,1.6,1.8,5.4,boguemu01,1988-89
35,28,Manute Bol,C,26,GSW,80,4,22.1,1.6,4.3,0.369,0.3,1.1,0.22,1.3,3.2,0.423,0.398,0.5,0.8,0.606,1.5,4.3,5.8,0.3,0.1,4.3,1.0,2.8,3.9,bolma01,1988-89
36,29,Anthony Bowie,SG,25,SAS,18,5,24.3,4.0,8.0,0.5,0.1,0.3,0.2,3.9,7.7,0.511,0.503,0.6,0.8,0.667,1.4,1.7,3.1,1.6,1.0,0.2,1.2,2.4,8.6,bowiean01,1988-89
37,30,Sam Bowie,C,27,POR,20,0,20.6,3.5,7.7,0.451,0.3,0.4,0.714,3.2,7.3,0.438,0.467,1.4,2.5,0.571,1.8,3.5,5.3,1.8,0.4,1.7,1.7,2.2,8.6,bowiesa01,1988-89
38,31,Dudley Bradley,SG,31,ATL,38,0,7.0,0.7,2.3,0.326,0.2,0.8,0.258,0.5,1.4,0.364,0.372,0.2,0.4,0.5,0.2,0.7,0.8,0.6,0.4,0.1,0.4,1.1,1.9,bradldu01,1988-89
39,32,Adrian Branch,SF,25,POR,67,4,12.1,3.0,6.5,0.463,0.1,0.5,0.226,2.9,6.0,0.481,0.471,1.3,1.8,0.725,0.9,1.0,2.0,0.9,0.7,0.0,1.0,1.5,7.4,brancad01,1988-89
40,33,Randy Breuer,C,28,MIL,48,4,10.7,1.8,3.7,0.48,0.0,0.0,,1.8,3.7,0.48,0.48,0.6,1.1,0.549,1.1,1.8,2.8,0.5,0.2,0.8,0.6,1.2,4.2,breuera01,1988-89
41,34,Frank Brickowski,C,29,SAS,64,60,28.5,5.3,10.2,0.515,0.0,0.0,0.0,5.3,10.2,0.517,0.515,3.1,4.4,0.715,2.3,4.0,6.3,2.0,1.6,0.5,2.6,3.9,13.7,brickfr01,1988-89
42,35,Scott Brooks,PG,23,PHI,82,6,16.7,1.9,4.5,0.42,0.7,1.9,0.359,1.2,2.7,0.463,0.495,0.7,0.8,0.884,0.2,0.9,1.1,3.7,0.8,0.0,0.8,1.4,5.2,brooksc01,1988-89
43,36,Mike Brown,C,25,UTA,66,16,15.9,1.6,3.8,0.419,0.0,0.0,,1.6,3.8,0.419,0.419,1.4,2.0,0.708,1.4,2.5,3.9,0.6,0.4,0.3,1.2,2.0,4.5,brownmi01,1988-89
44,37,Tony Brown,SF-SG,28,TOT,43,0,8.5,1.2,2.7,0.424,0.1,0.4,0.25,1.1,2.4,0.451,0.441,0.6,0.7,0.774,0.5,0.5,1.0,0.6,0.3,0.1,0.4,1.0,3.0,brownto01,1988-89
45,37,Tony Brown,SG,28,HOU,14,0,6.5,1.0,3.2,0.311,0.1,0.6,0.222,0.9,2.6,0.333,0.333,0.4,0.6,0.75,0.5,0.6,1.1,0.4,0.2,0.0,0.5,1.0,2.6,brownto01,1988-89
46,37,Tony Brown,SF,28,MIL,29,0,9.4,1.2,2.5,0.493,0.1,0.2,0.286,1.2,2.3,0.515,0.507,0.6,0.8,0.783,0.5,0.5,1.0,0.7,0.4,0.1,0.3,1.0,3.2,brownto01,1988-89
47,38,Mark Bryant,PF,23,POR,56,32,14.3,2.1,4.4,0.486,0.0,0.0,,2.1,4.4,0.486,0.486,0.7,1.2,0.58,1.2,2.0,3.2,0.6,0.4,0.1,0.7,2.6,5.0,bryanma01,1988-89
48,39,Greg Butler,C,22,NYK,33,0,4.2,0.6,1.5,0.417,0.0,0.1,0.0,0.6,1.4,0.444,0.417,0.5,0.6,0.8,0.3,0.6,0.8,0.1,0.0,0.1,0.5,0.8,1.7,butlegr01,1988-89
49,40,Michael Cage,PF,27,SEA,80,71,31.7,3.9,7.9,0.498,0.0,0.1,0.0,3.9,7.8,0.502,0.498,2.5,3.3,0.743,3.5,6.1,9.6,1.6,1.2,0.7,1.6,2.3,10.3,cagemi01,1988-89
50,41,Tony Campbell,SF,26,LAL,63,2,12.5,2.5,5.5,0.458,0.0,0.3,0.095,2.5,5.1,0.481,0.461,1.1,1.3,0.843,0.8,1.2,2.1,0.7,0.6,0.1,1.0,1.7,6.2,campbto01,1988-89
51,42,Antoine Carr,PF,27,ATL,78,12,19.1,2.9,6.0,0.48,0.0,0.0,0.0,2.9,6.0,0.481,0.48,1.7,1.9,0.855,1.4,2.2,3.5,1.2,0.4,0.8,1.1,2.8,7.5,carran01,1988-89
52,43,Joe Barry Carroll,C,30,NJN,64,62,31.2,5.7,12.7,0.448,0.0,0.0,,5.7,12.7,0.448,0.448,2.8,3.4,0.8,1.8,5.5,7.4,1.6,1.1,1.3,2.2,3.0,14.1,carrojo01,1988-89
53,44,Bill Cartwright,C,31,CHI,78,76,29.9,4.7,9.8,0.475,0.0,0.0,,4.7,9.8,0.475,0.475,3.0,3.9,0.766,1.9,4.7,6.7,1.2,0.3,0.5,2.4,3.0,12.4,cartwbi01,1988-89
54,45,Terry Catledge,PF,25,WSB,79,77,26.3,4.2,8.6,0.49,0.0,0.1,0.2,4.2,8.6,0.493,0.491,1.9,3.2,0.602,2.9,4.3,7.2,0.9,0.6,0.3,1.5,3.2,10.4,catlete01,1988-89
55,46,Ron Cavenall,C,29,NJN,5,0,3.2,0.4,0.6,0.667,0.0,0.0,,0.4,0.6,0.667,0.667,0.4,1.0,0.4,0.0,0.4,0.4,0.0,0.0,0.4,0.4,0.4,1.2,cavenro01,1988-89
56,47,Tom Chambers,PF,29,PHO,81,81,37.1,9.6,20.3,0.471,0.3,1.1,0.326,9.2,19.2,0.479,0.48,6.3,7.4,0.851,1.8,6.7,8.4,2.9,1.1,0.7,2.9,3.3,25.7,chambto01,1988-89
57,48,Mike Champion,SF,24,SEA,2,0,2.0,0.0,1.5,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,champmi01,1988-89
58,49,Rex Chapman,SG,21,CHH,75,44,29.6,7.0,16.9,0.414,0.8,2.5,0.314,6.2,14.4,0.431,0.437,2.1,2.6,0.795,1.0,1.5,2.5,2.3,0.9,0.3,1.5,2.2,16.9,chapmre01,1988-89
59,50,Maurice Cheeks*,PG,32,PHI,71,70,32.4,4.7,9.8,0.483,0.0,0.2,0.077,4.7,9.6,0.49,0.483,2.1,2.7,0.774,0.5,2.0,2.6,7.8,1.5,0.2,1.6,1.6,11.6,cheekma01,1988-89
