Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
1,Kareem Abdul-Jabbar*,C,39,LAL,78,78,31.3,7.2,12.7,.564,0.0,0.0,.333,7.2,12.7,.565,.564,3.1,4.4,.714,1.9,4.8,6.7,2.6,0.6,1.2,2.4,3.1,17.5,abdulka01
2,Alvan Adams,C,32,PHO,68,40,24.9,4.6,9.1,.503,0.0,0.0,.000,4.6,9.1,.504,.503,2.0,2.5,.788,1.3,3.6,5.0,3.3,0.9,0.5,2.0,3.0,11.1,adamsal01
3,Michael Adams,PG,24,WSB,63,0,20.7,2.5,6.2,.407,0.4,1.6,.275,2.1,4.6,.454,.443,1.7,2.0,.847,0.6,1.3,2.0,3.9,1.3,0.1,1.3,1.4,7.2,adamsmi01
4,Rafael Addison,SF,22,PHO,62,12,11.5,2.4,5.3,.441,0.3,0.8,.320,2.1,4.5,.463,.465,0.8,1.0,.797,0.7,1.0,1.7,0.7,0.4,0.1,0.9,1.2,5.8,addisra01
5,Mark Aguirre,SF,27,DAL,80,80,33.3,9.8,19.9,.495,0.7,1.9,.353,9.2,18.0,.510,.512,5.4,7.0,.770,2.3,3.1,5.3,3.2,1.1,0.4,2.7,3.0,25.7,aguirma01
6,Danny Ainge,SG,27,BOS,71,66,35.2,5.8,11.9,.486,1.2,2.7,.443,4.6,9.2,.498,.536,2.1,2.3,.897,0.7,2.7,3.4,5.6,1.4,0.2,2.0,2.7,14.8,aingeda01
7,Mark Alarie,PF,23,DEN,64,25,17.3,3.4,6.9,.490,0.0,0.1,.222,3.4,6.8,.495,.492,1.0,1.6,.663,1.1,2.2,3.3,1.2,0.3,0.4,0.9,2.2,7.9,alarima01
8,Richard Anderson,PF,26,HOU,51,0,6.1,1.2,2.7,.424,0.1,0.3,.250,1.1,2.4,.447,.439,0.4,0.6,.759,0.5,1.1,1.5,0.6,0.1,0.1,0.4,0.7,2.8,anderri01
9,Ron Anderson,SF,28,IND,63,0,11.4,2.2,4.7,.473,0.0,0.1,.000,2.2,4.6,.481,.473,1.3,1.7,.787,1.2,1.2,2.4,0.9,0.5,0.0,0.9,1.0,5.8,anderro01
10,John Bagley,PG,26,CLE,72,67,30.3,4.3,10.2,.426,0.4,1.4,.301,3.9,8.7,.447,.447,1.6,1.9,.831,0.8,2.7,3.5,5.3,1.3,0.1,2.3,1.6,10.7,baglejo01
11,James Bailey,PF,29,NJN,34,2,15.9,3.3,7.0,.469,0.0,0.0,,3.3,7.0,.469,.469,1.7,2.4,.725,1.4,2.6,4.0,0.6,0.4,0.7,1.6,3.5,8.3,baileja01
12,Thurl Bailey,PF,25,UTA,81,2,26.6,5.7,12.8,.447,0.0,0.0,.000,5.7,12.8,.448,.447,2.3,2.9,.805,1.8,3.5,5.3,1.3,0.5,1.1,1.5,1.9,13.8,baileth01
